Date,ISIN,Symbol,Price,Source
2025-04-24,INE120A01034,CARBORUNIV.NS,1049.800048828125,yfinance
2025-04-24,INE521J01018,CAREERP.NS,,yfinance
2025-04-24,INE752H01013,CARERATING.NS,,yfinance
2025-04-24,INE172A01027,CASTROLIND.NS,,yfinance
2025-04-24,INE652F01027,CCHHL.NS,,yfinance
2025-04-24,INE421D01022,CCL.NS,,yfinance
2025-04-24,INE736A01011,CDSL.NS,1367.4000244140625,yfinance
2025-04-24,INE482A01020,CEATLTD.NS,,yfinance
2025-04-24,INE209L01016,CEBBCO.NS,,yfinance
2025-04-24,INE185H01016,CELEBRITY.NS,11.989999771118164,yfinance
2025-04-24,INE485A01015,CENTENKA.NS,,yfinance
2025-04-24,INE281A01026,CENTEXT.NS,,yfinance
2025-04-24,INE483A01010,CENTRALBK.NS,38.08000183105469,yfinance
2025-04-24,INE660C01027,CENTRUM.NS,,yfinance
2025-04-24,INE320B01020,CENTUM.NS,1656.300048828125,yfinance
2025-04-24,INE348B01021,CENTURYPLY.NS,729.5,yfinance
2025-04-24,INE055A01016,CENTURYTEX.NS,,yfinance
2025-04-24,INE739E01017,CERA.NS,5679.0,yfinance
2025-04-24,INE345B01019,CEREBRAINT.NS,5.260000228881836,yfinance
2025-04-24,INE486A01013,CESC.NS,,yfinance
2025-04-24,INE425Y01011,CESCVENT.NS,,yfinance
2025-04-24,INE180C01026,CGCL.NS,,yfinance
2025-04-24,INE067A01029,CGPOWER.NS,646.0,yfinance
2025-04-24,INE427F01016,CHALET.NS,824.2000122070312,yfinance
2025-04-24,INE085A01013,CHAMBLFERT.NS,688.25,yfinance
2025-04-24,INE995D01025,CHEMBOND.NS,,yfinance
2025-04-24,INE03YM01018,CHEMCON.NS,208.13999938964844,yfinance
2025-04-24,INE783X01023,CHEMFAB.NS,,yfinance
2025-04-24,INE178A01016,CHENNPETRO.NS,,yfinance
2025-04-24,INE121A01024,CHOLAFIN.NS,,yfinance
2025-04-24,INE149A01033,CHOLAHLDNG.NS,,yfinance
2025-04-24,INE662C01015,CHROMATIC.NS,,yfinance
2025-04-24,INE675C01017,CIGNITITEC.NS,,yfinance
2025-04-24,INE704H01022,CINELINE.NS,,yfinance
2025-04-24,INE039B01026,CINEVISTA.NS,,yfinance
2025-04-24,INE059A01026,CIPLA.NS,1551.699951171875,yfinance
2025-04-24,INE201M01011,CLEDUCATE.NS,93.3000030517578,yfinance
2025-04-24,INE492A01029,CLNINDIA.NS,,yfinance
2025-04-24,INE981B01011,CMICABLES.NS,,yfinance
2025-04-24,INE672K01025,CNOVAPETRO.NS,,yfinance
2025-04-24,INE522F01014,COALINDIA.NS,,yfinance
2025-04-24,INE704P01017,COCHINSHIP.NS,,yfinance
2025-04-24,INE591G01017,COFORGE.NS,,yfinance
2025-04-24,INE259A01022,COLPAL.NS,2732.0,yfinance
2025-04-24,INE070C01037,COMPINFO.NS,1.9600000381469729,yfinance
2025-04-24,INE453B01029,COMPUSOFT.NS,,yfinance
2025-04-24,INE111A01025,CONCOR.NS,,yfinance
2025-04-24,INE552D01024,CONFIPET.NS,,yfinance
2025-04-24,INE025A01027,CONSOFINVT.NS,,yfinance
2025-04-24,INE663B01015,CONTROLPR.NS,,yfinance
2025-04-24,INE558D01021,CORALFINAC.NS,,yfinance
2025-04-24,INE792I01017,CORDSCABLE.NS,,yfinance
2025-04-24,INE169A01031,COROMANDEL.NS,,yfinance
2025-04-24,INE757A01017,COSMOFILMS.NS,,yfinance
2025-04-24,INE695B01025,COUNCODOS.NS,,yfinance
2025-04-24,INE008I01026,COX&KINGS.NS,,yfinance
2025-04-24,INE985W01018,CREATIVE.NS,,yfinance
2025-04-24,INE230B01021,CREATIVEYE.NS,6.849999904632568,yfinance
2025-04-24,INE741K01010,CREDITACC.NS,1148.6500244140625,yfinance
2025-04-24,INE559D01011,CREST.NS,397.0499877929688,yfinance
2025-04-24,INE007A01025,CRISIL.NS,,yfinance
2025-04-24,INE299U01018,CROMPTON.NS,,yfinance
