ISIN,Symbol,Type,Name
INE257A01026,BHEL.NS,EQ,Bharat Heavy Electricals Limited
INE412U01017,BIGBLOC.NS,EQ,Bigbloc Construction Limited
INE828A01016,BIL.NS,EQ,Bhartiya International Limited
INE607L01029,BILENERGY.NS,EQ,Bil Energy Systems Limited
INE143A01010,BINDALAGRO.NS,EQ,Oswal Chemicals & Fertilizers Limited
INE376G01013,BIOCON.NS,EQ,Biocon Limited
INE829A01014,BIOFILCHEM.NS,EQ,Biofil Chemicals & Pharmaceuticals Limited
INE800A01015,BIRLACABLE.NS,EQ,Birla Cable Limited
INE340A01012,BIRLACORPN.NS,EQ,Birla Corporation Limited
INE865C01022,BIRLAMONEY.NS,EQ,Aditya Birla Money Limited
INE0AEJ01013,BIRLATYRE.NS,EQ,Birla Tyres Limited
INE831Q01016,BKMINDST.NS,EQ,Bkm Industries Limited
INE791A01024,BLBLIMITED.NS,EQ,BLB Limited
INE416D01022,BLISSGVS.NS,EQ,Bliss GVS Pharma Limited
INE350H01032,BLKASHYAP.NS,EQ,B. L. Kashyap and Sons Limited
INE153T01027,BLS.NS,EQ,BLS International Services Limited
INE472B01011,BLUECOAST.NS,EQ,Blue Coast Hotels Limited
INE233B01017,BLUEDART.NS,EQ,Blue Dart Express Limited
INE472A01039,BLUESTARCO.NS,EQ,Blue Star Limited
INE338D01028,BODALCHEM.NS,EQ,Bodal Chemicals Limited
INE032A01023,BOMDYEING.NS,EQ,Bombay Dyeing & Mfg Company Limited
INE02PY01013,BOROLTD.NS,EQ,Borosil Limited
INE666D01022,BORORENEW.NS,EQ,BOROSIL RENEWABLES LIMITED
INE323A01026,BOSCHLTD.NS,EQ,Bosch Limited
INE029A01011,BPCL.NS,EQ,Bharat Petroleum Corporation Limited
INE110A01019,BPL.NS,EQ,BPL Limited
INE589G01011,BRFL.NS,EQ,Bombay Rayon Fashions Limited
INE791I01019,BRIGADE.NS,EQ,Brigade Enterprises Limited
INE216A01030,BRITANNIA.NS,EQ,Britannia Industries Limited
INE727S01012,BRNL.NS,EQ,Bharat Road Network Limited
INE650L01011,BROOKS.NS,EQ,Brooks Laboratories Limited
INE118H01025,BSE.NS,EQ,BSE Limited
INE395A01016,BSELINFRA.NS,EQ,BSEL Infrastructure Realty Limited
INE032Z01012,BSHSL.NS,EQ,Bombay Super Hybrid Seeds Limited
INE594B01012,BSL.NS,EQ,BSL Limited
INE836A01035,BSOFT.NS,EQ,BIRLASOFT LIMITED
INE07T201019,BURGERKING.NS,EQ,Burger King India Limited
INE817H01014,BURNPUR.NS,EQ,Burnpur Cement Limited
INE295F01017,BUTTERFLY.NS,EQ,Butterfly Gandhimathi Appliances Limited
INE139I01011,BVCL.NS,EQ,Barak Valley Cements Limited
INE319B01014,BYKE.NS,EQ,The Byke Hospitality Ltd
INE010B01027,CADILAHC.NS,EQ,Cadila Healthcare Limited
INE526B01014,CALSOFT.NS,EQ,California Software Company Limited
INE052I01032,CAMLINFINE.NS,EQ,Camlin Fine Sciences Limited
INE596I01012,CAMS.NS,EQ,Computer Age Management Services Limited
INE476A01014,CANBK.NS,EQ,Canara Bank
INE874H01015,CANDC.NS,EQ,C & C Constructions Limited
INE477A01020,CANFINHOME.NS,EQ,Can Fin Homes Limited
INE068L01016,CANTABIL.NS,EQ,Cantabil Retail India Limited
INE264T01014,CAPACITE.NS,EQ,Capacit'e Infraprojects Limited
